epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.561,2.18603,0.21429,0.67857,2.05823,4.165e-05,4.165e-05,4.165e-05
2,43.0328,1.92332,0.57143,0.85714,1.65614,9.07229e-05,9.07229e-05,9.07229e-05
3,62.1134,1.41274,0.67857,0.96429,1.2819,0.000138806,0.000138806,0.000138806
4,97.2618,1.10854,0.64286,1,1.03398,0.0001859,0.0001859,0.0001859
5,118.485,0.93592,0.64286,1,0.81451,0.000232004,0.000232004,0.000232004
6,138.026,0.67,0.82143,1,0.58298,0.000277118,0.000277118,0.000277118
7,156.962,0.49101,0.89286,1,0.44639,0.000321243,0.000321243,0.000321243
8,177.269,0.35181,0.85714,1,0.43305,0.000364378,0.000364378,0.000364378
9,198.271,0.29167,0.82143,1,0.39391,0.000406524,0.000406524,0.000406524
10,220.311,0.25677,0.85714,1,0.34196,0.00044768,0.00044768,0.00044768
11,240.581,0.14301,0.92857,1,0.31687,0.000487846,0.000487846,0.000487846
12,258.724,0.10631,0.92857,1,0.28675,0.000527023,0.000527023,0.000527023
13,277.839,0.07495,0.92857,1,0.31592,0.00056521,0.00056521,0.00056521
14,296.945,0.05325,0.92857,1,0.30179,0.000602408,0.000602408,0.000602408
15,315.97,0.05632,0.92857,1,0.25158,0.000638616,0.000638616,0.000638616
16,335.046,0.04608,0.92857,1,0.15603,0.000673835,0.000673835,0.000673835
17,355.291,0.03221,0.96429,1,0.10623,0.000701053,0.000701053,0.000701053
18,374.194,0.0143,0.96429,1,0.11129,0.000692806,0.000692806,0.000692806
19,392.337,0.0204,0.96429,1,0.12371,0.000684559,0.000684559,0.000684559
20,410.432,0.02076,0.92857,1,0.14411,0.000676313,0.000676313,0.000676313
21,428.287,0.01595,0.92857,1,0.18177,0.000668066,0.000668066,0.000668066
22,446.431,0.01067,0.92857,1,0.30027,0.000659819,0.000659819,0.000659819
23,464.227,0.0194,0.92857,1,0.31376,0.000651573,0.000651573,0.000651573
24,482.233,0.0323,0.89286,1,0.1777,0.000643326,0.000643326,0.000643326
25,500.389,0.00759,0.92857,1,0.1819,0.000635079,0.000635079,0.000635079
26,518.271,0.04688,0.96429,1,0.2211,0.000626832,0.000626832,0.000626832
27,536.055,0.00684,0.96429,1,0.23994,0.000618586,0.000618586,0.000618586
28,554.921,0.0109,0.92857,1,0.29794,0.000610339,0.000610339,0.000610339
29,574.213,0.00843,0.92857,1,0.25898,0.000602092,0.000602092,0.000602092
30,592.525,0.03543,0.89286,1,0.23438,0.000593846,0.000593846,0.000593846
31,612.396,0.03005,0.89286,1,0.20797,0.000585599,0.000585599,0.000585599
32,632.34,0.0117,0.89286,1,0.15397,0.000577352,0.000577352,0.000577352
33,651.979,0.05449,0.89286,1,0.15795,0.000569106,0.000569106,0.000569106
34,671.654,0.1183,0.89286,1,0.16706,0.000560859,0.000560859,0.000560859
35,694.404,0.01951,0.89286,1,0.18256,0.000552612,0.000552612,0.000552612
36,713.797,0.01125,0.85714,1,0.31249,0.000544365,0.000544365,0.000544365
37,736.476,0.017,0.89286,1,0.4136,0.000536119,0.000536119,0.000536119
