epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4989,2.08138,5.68762,1.60976,0,0,0,0,1.76063,5.48332,1.3331,3.185e-05,3.185e-05,3.185e-05
2,39.2563,1.7672,5.28975,1.39248,0,0,0,0,1.44011,5.25767,1.16744,6.75743e-05,6.75743e-05,6.75743e-05
3,56.4629,1.63287,5.08639,1.31602,0,0,0,0,1.24716,5.16874,1.08469,0.000102578,0.000102578,0.000102578
4,73.5915,1.29998,4.99828,1.12224,0,0,0,0,1.13988,5.14764,1.02918,0.000136861,0.000136861,0.000136861
5,91.0996,1.23023,4.88722,1.08937,0,0,0,0,0.95667,5.14499,0.99022,0.000170423,0.000170423,0.000170423
6,122.107,1.23764,4.26061,1.09128,0.11765,0.06863,0.09284,0.07016,1.04003,4.99691,0.99394,0.000203264,0.000203264,0.000203264
7,139.304,1.13599,3.85002,1.02166,0.03458,0.16667,0.15437,0.09825,1.1279,4.89733,1.02497,0.000235385,0.000235385,0.000235385
8,156.582,1.17909,3.51331,1.00406,0.03402,0.35784,0.16614,0.08978,1.0796,4.64624,1.05173,0.000266785,0.000266785,0.000266785
9,173.49,1.12827,3.44828,0.99023,0.02497,0.59804,0.26727,0.18173,1.07279,4.53482,0.98837,0.000297464,0.000297464,0.000297464
10,190.025,1.08571,3.22314,0.96041,0.02117,0.72059,0.38198,0.23108,1.19648,4.46917,1.00785,0.000327423,0.000327423,0.000327423
11,206.53,1.1936,3.01514,0.97646,0.0149,0.71849,0.47922,0.30734,1.10367,4.20806,1.0597,0.000356661,0.000356661,0.000356661
12,223.144,1.09185,2.77172,0.96558,0.92314,0.10494,0.50236,0.35703,0.96874,3.94539,0.98829,0.000385178,0.000385178,0.000385178
13,239.617,1.12186,2.6609,0.94952,0.84631,0.35082,0.51258,0.35219,1.14682,3.70518,1.02522,0.000400946,0.000400946,0.000400946
14,256.488,1.08165,2.53591,0.94623,0.85489,0.37565,0.65065,0.49649,1.14459,3.57252,1.07882,0.000396441,0.000396441,0.000396441
15,272.916,0.98773,2.35048,0.93635,0.81588,0.34383,0.70249,0.50065,1.15608,3.56607,1.05411,0.000391937,0.000391937,0.000391937
16,289.839,1.03281,2.39241,0.98719,0.79095,0.41149,0.66855,0.45724,1.04051,3.3817,0.99785,0.000387433,0.000387433,0.000387433
17,306.305,1.00028,2.26543,0.99178,0.74829,0.48809,0.71948,0.49043,1.01981,3.19482,0.98871,0.000382928,0.000382928,0.000382928
18,322.839,0.95233,2.09578,0.93433,0.63042,0.72694,0.64577,0.43573,1.0423,2.78172,1.03416,0.000378423,0.000378423,0.000378423
19,339.574,0.97704,2.07279,0.91628,0.6166,0.69113,0.67576,0.46148,1.01972,2.68225,1.05797,0.000373919,0.000373919,0.000373919
20,355.907,0.90359,2.09592,0.91491,0.71362,0.77893,0.79141,0.53865,1.04817,2.82087,1.05846,0.000369415,0.000369415,0.000369415
21,372.262,0.86959,1.86346,0.91664,0.71906,0.78656,0.79678,0.57193,0.97882,2.42883,1.02095,0.00036491,0.00036491,0.00036491
22,388.648,0.87031,1.65051,0.89163,0.57352,0.74276,0.73619,0.52724,1.05712,2.51412,1.02204,0.000360406,0.000360406,0.000360406
23,405.041,0.8775,1.74954,0.90244,0.72236,0.64594,0.77894,0.55673,1.00576,2.38726,0.99823,0.000355901,0.000355901,0.000355901
24,422.664,0.82052,1.58548,0.92251,0.59221,0.85581,0.74292,0.56739,0.80756,2.16885,0.95019,0.000351396,0.000351396,0.000351396
25,439.214,0.92031,1.73662,0.91588,0.65873,0.75636,0.84581,0.67848,0.73887,2.08851,0.91996,0.000346892,0.000346892,0.000346892
26,455.87,0.85862,1.61523,0.90004,0.68638,0.79808,0.86201,0.6853,0.7181,2.03865,0.92992,0.000342387,0.000342387,0.000342387
27,472.336,0.84637,1.6736,0.8907,0.78298,0.77749,0.87471,0.6662,0.83386,1.90323,0.97391,0.000337883,0.000337883,0.000337883
28,488.832,0.80248,1.47447,0.87855,0.71784,0.88633,0.85697,0.65157,0.86042,1.73589,0.96076,0.000333379,0.000333379,0.000333379
29,505.141,0.84258,1.58937,0.90238,0.72191,0.86571,0.8678,0.66118,0.93997,1.82579,0.96258,0.000328874,0.000328874,0.000328874
30,521.554,0.81951,1.43143,0.92754,0.67811,0.83374,0.84687,0.62627,0.92537,1.95983,0.9473,0.000324369,0.000324369,0.000324369
31,537.939,0.90263,1.60672,0.92762,0.70435,0.85963,0.86854,0.66442,0.8956,1.95409,0.96746,0.000319865,0.000319865,0.000319865
32,554.226,0.86109,1.59305,0.90528,0.75697,0.88021,0.88978,0.70141,0.78705,1.7872,0.94838,0.00031536,0.00031536,0.00031536
33,570.691,0.69518,1.20634,0.88249,0.74792,0.8573,0.88089,0.69744,0.84731,1.63195,0.93359,0.000310856,0.000310856,0.000310856
34,586.984,0.71142,1.35086,0.86901,0.84237,0.82623,0.85345,0.65902,0.89632,1.7218,0.93384,0.000306351,0.000306351,0.000306351
35,603.365,0.75149,1.26975,0.89529,0.79807,0.88151,0.88439,0.71594,0.85486,1.89345,0.91753,0.000301847,0.000301847,0.000301847
36,619.759,0.73587,1.36152,0.8619,0.85849,0.86059,0.9114,0.72394,0.78969,1.64361,0.91096,0.000297342,0.000297342,0.000297342
37,636.145,0.75179,1.49434,0.86418,0.85642,0.87795,0.94221,0.76638,0.65711,1.70955,0.90251,0.000292838,0.000292838,0.000292838
38,652.51,0.6959,1.2247,0.87903,0.7758,0.90997,0.93153,0.73077,0.76075,1.61025,0.91257,0.000288333,0.000288333,0.000288333
39,668.899,0.72302,1.18273,0.86482,0.82642,0.92677,0.93491,0.73303,0.78545,1.69286,0.91497,0.000283829,0.000283829,0.000283829
40,685.406,0.76684,1.05402,0.86951,0.84385,0.91753,0.9367,0.70238,0.77282,1.68129,0.91551,0.000279325,0.000279325,0.000279325
41,701.753,0.80385,1.15887,0.88433,0.81584,0.93169,0.94522,0.75246,0.81484,1.7789,0.92391,0.00027482,0.00027482,0.00027482
42,718.172,0.72651,1.21792,0.88613,0.78465,0.9408,0.94713,0.74951,0.74551,1.74429,0.91669,0.000270316,0.000270316,0.000270316
43,734.531,0.70293,1.17995,0.88231,0.77445,0.97059,0.94713,0.73089,0.73068,1.58318,0.91527,0.000265811,0.000265811,0.000265811
44,750.827,0.72559,1.18056,0.86948,0.79293,0.94073,0.94816,0.74672,0.76695,1.41243,0.93017,0.000261307,0.000261307,0.000261307
45,767.215,0.67896,1.09116,0.8625,0.79035,0.93563,0.95234,0.73835,0.84264,1.37185,0.94269,0.000256802,0.000256802,0.000256802
46,783.68,0.73128,1.08486,0.89144,0.83533,0.93807,0.97252,0.77496,0.77837,1.32592,0.92648,0.000252298,0.000252298,0.000252298
47,800.074,0.73422,1.10043,0.85716,0.8503,0.98011,0.97743,0.76621,0.74302,1.46078,0.91868,0.000247793,0.000247793,0.000247793
48,816.501,0.70542,1.04732,0.88113,0.83354,0.99156,0.97743,0.75776,0.71867,1.5976,0.91296,0.000243289,0.000243289,0.000243289
49,832.825,0.70381,1.03263,0.87091,0.79843,0.98229,0.98037,0.77064,0.70134,1.50596,0.90552,0.000238784,0.000238784,0.000238784
50,849.113,0.71135,1.38764,0.87402,0.83537,0.97788,0.98037,0.78194,0.72132,1.42295,0.91193,0.00023428,0.00023428,0.00023428
51,865.424,0.72999,1.0621,0.86072,0.8599,0.96789,0.98037,0.77899,0.74295,1.42256,0.91,0.000229775,0.000229775,0.000229775
52,881.96,0.63019,1.0245,0.86198,0.88076,0.97606,0.97743,0.76976,0.72736,1.39141,0.90707,0.00022527,0.00022527,0.00022527
53,898.32,0.62562,0.90575,0.83902,0.91349,0.99829,0.97743,0.78464,0.77453,1.39732,0.91329,0.000220766,0.000220766,0.000220766
54,914.726,0.67485,1.12582,0.85786,0.91085,0.99901,0.97743,0.79513,0.72958,1.51346,0.90785,0.000216261,0.000216261,0.000216261
55,931.199,0.71172,0.97787,0.87203,0.88753,1,0.97743,0.80996,0.66938,1.52448,0.89286,0.000211757,0.000211757,0.000211757
56,947.619,0.62068,0.91496,0.86109,0.88469,0.98529,0.97743,0.80235,0.72656,1.66066,0.89255,0.000207252,0.000207252,0.000207252
57,963.923,0.59936,0.984,0.86832,0.88677,1,0.98037,0.80318,0.67965,1.39986,0.8942,0.000202748,0.000202748,0.000202748
58,980.243,0.60574,0.99171,0.86746,0.89819,0.98697,0.98037,0.79925,0.74974,1.31253,0.90996,0.000198244,0.000198244,0.000198244
59,996.634,0.55096,1.82056,0.73963,0.86974,0.9941,0.97743,0.8171,0.67691,1.31495,0.90104,0.000193739,0.000193739,0.000193739
60,1026.6,0.57256,0.89469,0.85691,0.87101,0.9793,0.96866,0.79054,0.68356,1.31856,0.89541,0.000189235,0.000189235,0.000189235
61,1043.02,0.69085,1.01744,0.88651,0.88793,0.98123,0.96866,0.79244,0.70416,1.41185,0.89752,0.00018473,0.00018473,0.00018473
62,1059.38,0.64644,0.89139,0.87407,0.91431,0.98711,0.96866,0.80808,0.69512,1.36144,0.90447,0.000180226,0.000180226,0.000180226
63,1075.8,0.64361,0.91718,0.86514,0.91878,0.9863,0.97154,0.8003,0.75241,1.32118,0.91147,0.000175721,0.000175721,0.000175721
64,1092.08,0.63096,1.02983,0.85987,0.92119,0.99387,0.97449,0.79784,0.72683,1.34776,0.90693,0.000171217,0.000171217,0.000171217
65,1108.53,0.56557,0.84759,0.85392,0.91684,0.99892,0.97743,0.80061,0.63578,1.30214,0.89406,0.000166712,0.000166712,0.000166712
66,1124.94,0.66732,0.98459,0.83078,0.89594,0.99289,0.98037,0.81265,0.61495,1.26863,0.89608,0.000162207,0.000162207,0.000162207
67,1141.28,0.60371,0.86864,0.83485,0.88298,0.99858,0.98037,0.81485,0.65313,1.18244,0.90767,0.000157703,0.000157703,0.000157703
68,1157.59,0.58023,0.81452,0.86025,0.86215,1,0.98037,0.82029,0.69644,1.14576,0.9161,0.000153198,0.000153198,0.000153198
69,1174.03,0.59504,0.83188,0.8553,0.86464,1,0.98037,0.83067,0.6603,1.1574,0.90507,0.000148694,0.000148694,0.000148694
70,1190.61,0.61104,0.88976,0.8718,0.86368,1,0.98037,0.82407,0.61206,1.20703,0.88944,0.00014419,0.00014419,0.00014419
71,1207.36,0.60418,0.85226,0.84356,0.91377,0.99253,0.98037,0.82552,0.59313,1.24071,0.88349,0.000139685,0.000139685,0.000139685
72,1223.61,0.60195,0.84979,0.83848,0.93439,0.98749,0.98037,0.82033,0.59921,1.22923,0.88594,0.000135181,0.000135181,0.000135181
73,1240.09,0.54381,0.82893,0.83004,0.93304,0.98898,0.98037,0.81418,0.63542,1.26733,0.89437,0.000130676,0.000130676,0.000130676
74,1256.73,0.55495,0.80619,0.83379,0.93372,0.9914,0.98037,0.81653,0.5962,1.29804,0.8902,0.000126172,0.000126172,0.000126172
75,1273.27,0.62739,0.84095,0.84899,0.9313,0.99757,0.97449,0.82455,0.55679,1.30338,0.88602,0.000121667,0.000121667,0.000121667
76,1289.72,0.57015,0.84742,0.85506,0.93417,0.99754,0.97449,0.8299,0.55942,1.3514,0.88686,0.000117163,0.000117163,0.000117163
77,1306.07,0.63533,0.83024,0.8401,0.94542,0.99786,0.98037,0.8242,0.58367,1.32531,0.88961,0.000112658,0.000112658,0.000112658
78,1322.69,0.5874,0.82105,0.83739,0.91886,1,0.98037,0.81295,0.61505,1.30934,0.89581,0.000108154,0.000108154,0.000108154
79,1339.42,0.53834,0.81796,0.80679,0.90712,1,0.98037,0.81779,0.61247,1.27893,0.89361,0.000103649,0.000103649,0.000103649
80,1355.7,0.56072,0.80641,0.84321,0.90473,1,0.98037,0.82576,0.59185,1.24981,0.88886,9.91445e-05,9.91445e-05,9.91445e-05
81,1372.03,0.56961,0.80429,0.85044,0.91035,0.99943,0.98037,0.82708,0.58069,1.22724,0.88627,9.464e-05,9.464e-05,9.464e-05
